year,kepco_hydroGen,kepco_hydroPump,kepco_hydroSum,kepco_steamAnth,kepco_steamBit,kepco_steamHeavy,kepco_steamLNG,kepco_steamSum,kepco_combinedGen,kepco_combinedHeat,kepco_combinedSum,kepco_group,kepco_internal,kepco_alternative,kepco_nuclear,kepco_sum,other_hydroGen,kepco_hydroMicro,other_hydroSum,other_steamHeavy,other_combinedGen,other_combinedHeat,other_combinedSum,other_group,other_alternative,other_GA,other_sum,public_hydroGen,public_hydroPump,public_hydroMicro,public_hydroSum,public_steamAnth,public_steamBit,public_steamHeavy,public_steamLNG,public_steamSum,public_combinedGen,public_combinedHeat,public_combinedSum,public_internal,public_nuclear,public_group,public_alternative,public_GA,public_sum,nonUtil_purchased,nonUtil_self,nonUtil_sum,PP,PN
1998,1805551,1819618,3625169,6510169,71152157,9942627,1436625,8.9041578E7,1.50262E7,8853811,2.3880011E7,0,575291,0,89688972,206811020,2381041,92826,2473867,0,2625036,0,2625036,0,0,0,5098903,4186592,1819618,92826,6099036,6510169,71152157,9942627,1436625,89041578,17651236,8853811,26505047,575291,89688972,0,0,0,211909923,3390496,21896987,25287483,215300419,237197406
1999,1652680,1906973,3559653,6697467,76906300,11523950,1344831,9.6472548E7,1.6799417E7,9909484,2.6708901E7,0,381697,0,103063779,230186578,2415980,90600,2506580,0,1966145,0,1966145,0,0,0,4472725,4068660,1906973,90600,6066233,6697467,76906300,11523950,1344831,96472548,18765562,9909484,28675046,381697,103063779,0,0,0,234659303,4665430,22827413,27492843,239324733,262152146
2000,1595939,1600269,3196208,7029753,92397718,18888171,1631891,1.19947533E8,1.5734372E7,8705870,2.4440242E7,0,293861,0,108963740,256841584,2345078,68536,2413614,0,1565280,857618,2422898,0,0,0,4836511,3941017,1600269,68536,5609822,7029753,92397718,18888171,1631891,119947533,17299652,9563488,26863140,293861,108963740,0,0,0,261678095,4721413,24043440,28764853,266399508,290442948
2001,1094114,1820814,2914929,7007385,105250087,21622339,1556930,1.35436741175E8,1.7495545E7,6093270,2.3588815E7,0,324939,0,112133033,274398456,1163470,72354,1235824,0,2790240,2653916,5444156,0,0,0,6679980,2257585,1820814,72354,4150753,7007385,105250087,21622339,1556930,135436741,20285785,8747186,29032971,324939,112133033,0,0,0,281078436,4145321,24662195,28807516,285223757,309885952
2002,1183990,2078269,3262259,6674542,112990671,17493064,1771207,1.38929483793E8,2.4130603E7,6404503,3.0535106E7,0,353023,0,119102905,292182776,1952684,96103,2048788,0,4493080,3308765,7801845,0,0,0,9850632,3136674,2078269,96103,5311047,6674542,112990671,17493064,1771207,138929484,28623683,9713268,38336951,353023,119102905,0,0,0,302033408,4440656,25546883,29987539,306474064,332020947
2003,1478060,2001406,3479466,6959937,114971490,16663865,1674183,1.4026947469E8,2.6530264511E7,6544989,3.3075253511E7,0,370125,0,129671763,306866082,3278881,128636,3407517,0,3992036,3307356,7299392,0,0,0,10706909,4756941,2001406,128636,6886983,6959937,114971490,16663865,1674183,140269475,30522301,9852345,40374646,370125,129671763,0,0,0,317572991,4878706,25304512,30183218,322451697,347756209
2004,1491142,1550355,3041497,5787070,122760316,16084006,733317.83,1.45364709946E8,4.0608047E7,7044404,4.7652451E7,0,406895,10822,130714816,327191187,2707206,112732,2819938,0,4816914,2982576,7799490,0,0,3891899,14511327,4198348,1550355,112732,5861434,5787070,122760316,16084006,733318,145364710,45424961,10026980,55451941,406895,130714816,3552538,350183,3902721,341702514,445453,25885585,26331038,342147967,368033552
2005,1351427,1515588,2867016,5789778,129101944,15529107,786366,1.51207195342E8,4.1592643092E7,6718301.847999999,4.831094494E7,0,575339,18863,146779023,349758383,2184144,137729,2321873,0,6248041,2897912,9145953,0,0,3143782,14611607,3535571,1515588,137729,5188888,5789778,129101944,15529107,786366,151207195,47840684,9616214,57456898,575339,146779023,2758544,404101,3162645,364369990,269341,24840181,25109522,364639331,389479512
2006,1162850,1751083,2913934,5709388,134636585,14306787,1258155,1.55910915487E8,4.6977024089E7,7196749.3100000005,5.4173773399000004E7,0,677296,21857,148748887,362446663,2163431,141256,2304687,0,10385065,2579503,12964568,0,0,3086097,18355353,3326281,1751083,141256,5218621,5709388,134636585,14306787,1258155,155910915,57362089,9776252,67138342,677296,148748887,2596731,511223,3107954,380802016,378693,21808234,22186927,381180709,402988943
2007,1368478,1410813,2779290,6061545,149623092,15702736,2027701,1.73415074134E8,5.310457247E7,7359634.858000001,6.0464207328E7,0,578356,26955,142937164,380201047,2106791,156381,2263172,0,12732371,3208840,15941211,0,0,3889009,22093391,3475269,1410813,156381,5042462,6061545,149623092,15702736,2027701,173415074,65836943,10568475,76405418,578356,142937164,3085140,830824,3915964,402294438,830063,22282788,23112851,403124501,425407289
2008,1343461,2492539,3836000,6928993,167227037,7981563,1517763,1.83655356352812E8,4.856348356258E7,7345768.919,5.590925248158E7,0,502708,68619,150957936,394929871,1581093,145558,1726650,0,15248475,3361624,18610099,0,0,6359229,26695978,2852127,2492539,217984,5562651,6928993,167227037,7981563,1517763,183655356,63811959,10707393,74519352,502708,150957936,5054422,1373425,6427847,421625849,729277,20255832,20985109,422355126,442610958
2009,1262720,2827991,4090711,7977658,185825633,11970100,761682,2.06535072847E8,4.11112740751E7,6468634.6740000015,4.75799087491E7,0,696953,106104,147770807,406779556,1425109,125343,1550452,0,13996856,2909244,16906100,0,0,7511502,25968054,2596100,2827991,217071,5641162,7977658,185825633,11970100,761682,206535073,55108130,9377879,64486009,696953,147770807,5826998,1790609,7617606,432747610,856135,18843716,19699851,433603745,452447461
2010,1602608,2789934,4392542,8359873,189927487,10874371,2287541,2.11449271335884E8,6.132740120472E7,8754053.367,7.008145457172E7,0,730695,134491,148595712,435384166,1881192,198169,2079361,0,20236407,3694276,23930683,0,0,12423799,38433844,3339560,2789934,342409,6471903,8359873,189927487,10874371,2287541,211449271,81563808,12448329,94012138,730695,148595712,8080233,4478058,12558291,473818009,842196,20368158,21210354,474660205,495028363
2011,1581969,3232985,4814954,8503983,191011864,9456338,2232618,2.1120480341941997E8,6.436956620965999E7,7298518.515000001,7.166808472466001E7,0,820533,177742,154723107,443409223,2739934,275763,3015698,0,26083420,3727879,29811299,0,0,19843712,52670709,4178868,3232985,418799,7830652,8503983,191011864,9456338,2232618,211204803,90452986,11026398,101479384,820533,154723107,12429067,7592387,20021454,496079932,813434,21274450,22087884,496893366,518167816
2012,1456362,3683262,5139624,8767762,190561957,13553420,3452866.0032300004,2.16336003985058E8,6.716877000325E7,8582367.302222999,7.575113730547301E7,0,752070,210051,150327293,448516180,2136735,418640,2512677,0,30379691,4751106,35130796,12912737,8365119,21320555,58964028,3440018,3683262,571720,7695000,8767762,190561957,13553420,3452866,216336004,97548461,13333473,110881933,752070,150327293,12912737,8617869,21530606,507480208,2094121,21627537,23721658,509574329,531201866
2013,1574668,4104661,5679329,8054488,193064345,13940534,3525889.24,2.1858525652500004E8,7.6436267441E7,8124499.558,8.4560766999E7,0,740935,406403,138783973,448756663,2223572,491028,2714600,0,35193242,4646002,39839244,14403169,9753255,24156424,66710267,3798240,4104661,491028,8393928,8054488,193064345,13940534,3525889,218585257,111629509,12770502,124400011,740935,138783973,14403169,10159658,24413341,515466931,1680942,20021403,21702345,517147873,537169276
2014,907498,5068129,5975627,8506060,195259331,6838457,568123.0001620001,2.11171971187403E8,6.06794817816E7,4711551.74046,6.539103352205999E7,2743209,655810,570296,156406511,442914458,1354640,489281,1843921,0,43622010,2698422,46320431,16204886,14125394,30330280,78494632,2135681,5068129,615737,7819548,8506060,195259331,6838457,568123,211171971,104301491,7409973,111711465,655810,156406511,18948095,14695690,33643785,521409090,561813,20174021,20735834,521970903,542144924
